Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Almagro,-34.6099883,-58.4222331,La Rua Pastas,-34.605998045362675,-58.421328969074835,Grocery Store
Almagro,-34.6099883,-58.4222331,Parada 160,-34.60607892612898,-58.42084409407999,Bus Stop
Almagro,-34.6099883,-58.4222331,Easy,-34.61187868674156,-58.41790631159229,Hardware Store
Caballito,-34.6200773,-58.44248929999999,Mercado del Progreso,-34.621255458717066,-58.441451972724664,Market
Caballito,-34.6200773,-58.44248929999999,Megatlon,-34.61976208949499,-58.44264574622554,Gym
Caballito,-34.6200773,-58.44248929999999,Parrilla Caballito,-34.621239043048156,-58.44101956006545,BBQ Joint
Caballito,-34.6200773,-58.44248929999999,adidas,-34.619600599262256,-58.43944916665797,Sporting Goods Shop
Caballito,-34.6200773,-58.44248929999999,Bonafide,-34.61972249878492,-58.43969882378555,Café
Caballito,-34.6200773,-58.44248929999999,Olympus Sport Center,-34.6232495974678,-58.445811867713935,Gym
Caballito,-34.6200773,-58.44248929999999,Plaza Giordano Bruno,-34.6171927513465,-58.44130538133657,Playground
Caballito,-34.6200773,-58.44248929999999,Roma,-34.62032710957107,-58.44132698051475,Bakery
Caballito,-34.6200773,-58.44248929999999,Club Ferro Carril Oeste,-34.61896582698959,-58.44694667534905,Soccer Stadium
Caballito,-34.6200773,-58.44248929999999,Pollo's,-34.62126116936329,-58.44148375790963,Farmers Market
Caballito,-34.6200773,-58.44248929999999,Tienda de Café,-34.62159333115631,-58.44255873041656,Café
Caballito,-34.6200773,-58.44248929999999,Il Trovatore,-34.618918947145694,-58.43745410442352,Ice Cream Shop
Caballito,-34.6200773,-58.44248929999999,Jacarandá,-34.623670774859484,-58.44081020201399,Restaurant
Caballito,-34.6200773,-58.44248929999999,Ararat,-34.62264,-58.440879,Middle Eastern Restaurant
Caballito,-34.6200773,-58.44248929999999,Bambú,-34.62208309634324,-58.445113662282516,Argentinian Restaurant
Caballito,-34.6200773,-58.44248929999999,Café Martínez,-34.622507,-58.445764,Café
Caballito,-34.6200773,-58.44248929999999,Pollo Trak,-34.61861321180197,-58.43931053636334,Fried Chicken Joint
Caballito,-34.6200773,-58.44248929999999,La Continental,-34.621033962692394,-58.4415963052023,Pizza Place
